pid,technique,granularity,language,time,accuracy
P06,TRADITIONAL,paragraph,Latin,6.225,1
P06,TRADITIONAL,paragraph,English,25.964,1
P06,TRADITIONAL,phrase,Latin,5.108,1
P06,TRADITIONAL,phrase,English,5.994,1
P07,TRADITIONAL,paragraph,English,15.614,1
P07,TRADITIONAL,paragraph,Latin,5.152,1
P07,TRADITIONAL,phrase,English,16.222,1
P07,TRADITIONAL,phrase,Latin,4.736,1
P07,TRADITIONAL,sentence,English,8.593,1
P07,TRADITIONAL,sentence,Latin,5.355,1
P07,AUTOCOMPASTE,paragraph,English,6.458,1
P07,AUTOCOMPASTE,paragraph,Latin,6.03,1
P07,AUTOCOMPASTE,phrase,English,9.551,1
P07,AUTOCOMPASTE,phrase,Latin,10.374,1
P07,AUTOCOMPASTE,sentence,English,3.699,1
P07,AUTOCOMPASTE,sentence,Latin,3.635,1
P07,TRADITIONAL,paragraph,English,4.083,1
P07,TRADITIONAL,paragraph,Latin,4.522,1
P07,TRADITIONAL,phrase,English,5.458,1
P07,TRADITIONAL,phrase,Latin,5.207,1
P07,TRADITIONAL,sentence,English,5.501,1
P07,TRADITIONAL,sentence,Latin,6.942,1
P07,AUTOCOMPASTE,paragraph,English,6.095,1
P07,AUTOCOMPASTE,paragraph,Latin,9.654,1
P07,AUTOCOMPASTE,phrase,English,8.896,1
P07,AUTOCOMPASTE,phrase,Latin,10.075,1
P07,AUTOCOMPASTE,sentence,English,3.164,1
P07,AUTOCOMPASTE,sentence,Latin,5.377,1
P07,TRADITIONAL,paragraph,English,5.073,1
P07,TRADITIONAL,paragraph,Latin,3.893,1
P07,TRADITIONAL,phrase,English,11.891,1
P07,TRADITIONAL,phrase,Latin,5.5,1
P07,TRADITIONAL,sentence,English,7.638,1
P07,TRADITIONAL,sentence,Latin,13.432,1
P07,AUTOCOMPASTE,paragraph,English,4.95,1
P07,AUTOCOMPASTE,paragraph,Latin,7.032,1
P07,AUTOCOMPASTE,phrase,English,11.069,1
P07,AUTOCOMPASTE,phrase,Latin,7.3,1
P07,AUTOCOMPASTE,sentence,English,4.197,1
P07,AUTOCOMPASTE,sentence,Latin,4.445,1
P07,TRADITIONAL,paragraph,English,4.668,1
P07,TRADITIONAL,paragraph,Latin,4.016,1
P07,TRADITIONAL,phrase,English,6.402,1
P07,TRADITIONAL,phrase,Latin,5.637,1
P07,TRADITIONAL,sentence,English,4.105,1
P07,TRADITIONAL,sentence,Latin,18.721,1
P07,AUTOCOMPASTE,paragraph,English,4.86,1
P07,AUTOCOMPASTE,paragraph,Latin,10.62,1
P07,AUTOCOMPASTE,phrase,English,26.022,1
P07,AUTOCOMPASTE,phrase,Latin,13.816,1
P07,AUTOCOMPASTE,sentence,English,4.62,1
P07,AUTOCOMPASTE,sentence,Latin,5.175,1
P07,TRADITIONAL,paragraph,English,6.489,0
P07,TRADITIONAL,paragraph,Latin,10.847,1
P07,TRADITIONAL,phrase,English,5.377,1
P07,TRADITIONAL,phrase,Latin,12.502,1
P07,TRADITIONAL,sentence,English,8.785,1
P07,TRADITIONAL,sentence,Latin,5.161,1
P07,AUTOCOMPASTE,paragraph,English,8.909,1
P07,AUTOCOMPASTE,paragraph,Latin,8.225,1
P07,AUTOCOMPASTE,phrase,English,13.7,1
P07,AUTOCOMPASTE,phrase,Latin,14.659,1
P07,AUTOCOMPASTE,sentence,English,4.352,1
P07,AUTOCOMPASTE,sentence,Latin,6.708,1
P07,TRADITIONAL,paragraph,English,5.07,1
P07,TRADITIONAL,paragraph,Latin,4.357,1
P07,TRADITIONAL,phrase,English,3.696,1
P07,TRADITIONAL,phrase,Latin,3.612,1
P07,TRADITIONAL,sentence,English,5.602,1
P07,TRADITIONAL,sentence,Latin,13.917,1
P07,AUTOCOMPASTE,paragraph,English,6.186,1
P07,AUTOCOMPASTE,paragraph,Latin,7.019,1
P07,AUTOCOMPASTE,phrase,English,15.256,1
P07,AUTOCOMPASTE,phrase,Latin,10.337,1
P07,AUTOCOMPASTE,sentence,English,3.847,1
P07,AUTOCOMPASTE,sentence,Latin,5.299,1
P08,TRADITIONAL,paragraph,Latin,7.863,1
P08,TRADITIONAL,paragraph,English,15.558,1
P08,TRADITIONAL,phrase,Latin,18.429,1
P08,TRADITIONAL,phrase,English,13.094,1
P08,TRADITIONAL,sentence,Latin,39.629,1
P08,TRADITIONAL,sentence,English,8.999,1
P08,AUTOCOMPASTE,paragraph,Latin,9,1
P08,AUTOCOMPASTE,paragraph,English,6.537,1
P08,AUTOCOMPASTE,phrase,Latin,24.416,1
P08,AUTOCOMPASTE,phrase,English,15.198,1
P08,AUTOCOMPASTE,sentence,Latin,10.867,1
P08,AUTOCOMPASTE,sentence,English,5.406,1
P08,TRADITIONAL,paragraph,Latin,6.786,1
P08,TRADITIONAL,paragraph,English,6.336,1
